Experiment ID,Meeting,Temperatuur (C),CO? (ml),Cumulatief,Datum,Tijd,Meetnivuea,Opmerkingen,Nieuwe 0 Waarde
S1,1,32.0,0.00,28.00,2024-05-17,10:36,28,,
S1,2,31.4,0.00,28.00,2024-05-17,11:03,28,,
S1,3,30.8,0.00,28.00,2024-05-17,11:18,28,,
S1,4,30.4,-2.00,26.00,2024-05-17,11:36,26,,
S1,5,30.0,0.00,26.00,2024-05-17,11:52,26,,
S1,6,30.0,2.00,28.00,2024-05-17,12:10,28,,
S1,7,30.0,-2.00,26.00,2024-05-17,12:25,26,,
S1,8,30.0,0.00,26.00,2024-05-17,12:41,26,,
S1,9,30.0,0.00,26.00,2024-05-17,12:57,26,,
S1,10,30.0,0.00,26.00,2024-05-17,13:18,26,,
S1,11,30.0,2.00,28.00,2024-05-17,13:34,28,,
S2,1,32.4,0.00,25.00,2024-05-17,10:40,25,,
S2,2,31.4,0.00,25.00,2024-05-17,11:03,25,,
S2,3,30.8,0.00,25.00,2024-05-17,11:18,34,Zeker verkeerde gemeten,
S2,4,30.4,0.00,25.00,2024-05-17,11:36,25,corectie meting,
S2,5,30.0,1.00,26.00,2024-05-17,11:52,26,,
S2,6,30.0,2.00,28.00,2024-05-17,12:10,28,,
S2,7,30.0,-2.00,26.00,2024-05-17,12:25,26,,
S2,8,30.0,0.00,26.00,2024-05-17,12:41,26,,
S2,9,30.0,0.00,26.00,2024-05-17,12:57,26,,
S2,10,30.0,0.00,26.00,2024-05-17,13:18,26,,
S2,11,30.0,2.00,28.00,2024-05-17,13:34,28,,
S3,1,32.2,0.00,26.00,2024-05-17,10:48,26,,
S3,2,31.4,0.00,26.00,2024-05-17,11:03,26,overstroming om 11:13,
S3,3,30.8,96.00,122.00,2024-05-17,11:18,122,,
S3,4,30.4,-2.00,120.00,2024-05-17,11:36,120,,
S3,5,30.0,-12.00,108.00,2024-05-17,11:52,108,,
S3,6,30.0,8.00,116.00,2024-05-17,12:10,116,,
S3,7,30.0,0.00,116.00,2024-05-17,12:25,116,,
S3,8,30.0,-2.00,114.00,2024-05-17,12:41,114,,
S3,9,30.0,-2.00,112.00,2024-05-17,12:57,112,,
S3,10,30.0,-12.00,100.00,2024-05-17,13:18,100,,
S3,11,30.0,8.00,108.00,2024-05-17,13:34,108,,
Sd1,1,32.0,0.00,30.00,2024-05-17,10:37,30,,
Sd1,2,31.4,0.00,30.00,2024-05-17,11:03,30,,
Sd1,3,30.8,0.00,30.00,2024-05-17,11:18,30,,
Sd1,4,30.4,0.00,30.00,2024-05-17,11:36,30,,
Sd1,5,30.0,0.00,30.00,2024-05-17,11:52,30,,
Sd1,6,30.0,0.00,30.00,2024-05-17,12:10,30,,
Sd1,7,30.0,0.00,30.00,2024-05-17,12:25,30,,
Sd1,8,30.0,-10.00,20.00,2024-05-17,12:41,20,,
Sd1,9,30.0,0.00,20.00,2024-05-17,12:57,20,,
Sd1,10,30.0,10.00,30.00,2024-05-17,13:18,30,,
Sd1,11,30.0,-10.00,20.00,2024-05-17,13:34,20,,
Sd2,1,32.4,0.00,8.00,2024-05-17,10:42,8,,
Sd2,2,31.4,0.00,8.00,2024-05-17,11:03,8,,
Sd2,3,30.8,0.00,8.00,2024-05-17,11:18,8,,
Sd2,4,30.4,0.00,8.00,2024-05-17,11:36,8,,
Sd2,5,30.0,0.00,8.00,2024-05-17,11:52,8,,
Sd2,6,30.0,72.00,80.00,2024-05-17,12:10,80,,
Sd2,7,30.0,170.00,250.00,2024-05-17,12:25,250,leeg nieuw 36,36
Sd2,8,30.0,58.00,308.00,2024-05-17,12:41,94,,
Sd2,9,30.0,59.00,367.00,2024-05-17,12:57,153,,
Sd2,10,30.0,35.00,402.00,2024-05-17,13:18,188,,
Sd2,11,30.0,62.00,464.00,2024-05-17,13:34,250,leeg,
Sd3,1,32.1,0.00,28.00,2024-05-17,10:50,28,,
Sd3,2,31.6,0.00,28.00,2024-05-17,11:00,101,waterslot niet goed,
Sd3,3,30.8,149.00,177.00,2024-05-17,11:18,250,max berijkt nieuwe is op 50,50
Sd3,4,30.4,200.00,377.00,2024-05-17,11:36,250,weer leeg nieuw op 26,26
Sd3,5,30.0,204.00,581.00,2024-05-17,11:52,230,,
Sd3,6,30.0,20.00,601.00,2024-05-17,12:10,250,weer leeg nieuw op 28,28
Sd3,7,30.0,210.00,811.00,2024-05-17,12:25,238,,
Sd3,8,30.0,-38.00,773.00,2024-05-17,12:41,200,,
Sd3,9,30.0,50.00,823.00,2024-05-17,12:57,250,leeg nieuw 30,30
Sd3,10,30.0,54.00,877.00,2024-05-17,13:18,84,,
Sd3,11,30.0,166.00,1043.00,2024-05-17,13:34,250,leeg,
