Experiment Id,Meeting,Temperatuur (C),CO? (ml),Cumulatief,Datum,Tijd,Meetniveau,Opmerking,Nieuwe 0 Waarde,,
Z1,1,30.00,0,38,17-May,11:50,38,,,,
Z1,2,30.00,148,186,17-May,12:05,186,,,,
Z1,3,30.00,64,250,17-May,12:20,250,Leeg,8,,
Z1,4,30.00,202,452,17-May,12:42,210,,,,
Z1,5,30.00,40,492,17-May,12:57,250,Leeg,26,,
Z1,6,30.00,74,566,17-May,13:18,100,,,,
Z1,7,30.00,94,660,17-May,13:34,194,,,,
Z1,8,30.00,6,666,17-May,13:49,220,,,,
Z1,9,30.00,0,666,17-May,14:07,220,,,,
Z1,10,30.00,-2,664,17-May,14:22,218,,,,
Z1,11,30.00,-2,662,17-May,14:37,216,,,,
Z2,1,30.00,0,30,17-May,11:50,30,,,,
Z2,2,30.00,20,50,17-May,12:05,50,,,,
Z2,3,30.00,200,250,17-May,12:20,250,Leeg,32,,
Z2,4,30.00,150,400,17-May,12:42,172,,,,
Z2,5,30.00,100,500,17-May,12:57,250,Leeg,80,,
Z2,6,30.00,104,604,17-May,13:18,184,,,,
Z2,7,30.00,66,670,17-May,13:34,250,Leeg,37,,
Z2,8,30.00,47,717,17-May,13:49,84,,,,
Z2,9,30.00,49,766,17-May,14:07,133,,,,
Z2,10,30.00,25,791,17-May,14:22,158,,,,
Z2,11,30.00,16,807,17-May,14:37,174,,,,
Z3,1,30.00,0,14,17-May,11:50,14,,,,
Z3,2,30.00,0,14,17-May,12:05,14,,,,
Z3,3,30.00,18,32,17-May,12:20,32,,,,
Z3,4,30.00,118,150,17-May,12:42,150,,,,
Z3,5,30.00,34,184,17-May,12:57,184,,,,
Z3,6,30.00,0,184,17-May,13:18,184,,,,
Z3,7,30.00,-2,182,17-May,13:34,182,,,,
Z3,8,30.00,-8,174,17-May,13:49,170,,,,
Z3,9,30.00,-9,165,17-May,14:07,179,,,,
Z3,10,30.00,1,166,17-May,14:22,178,,,,
Z3,11,30.00,-1,165,17-May,14:37,177,,,,
Zd1,1,30.00,0,4,17-May,11:50,4,,,,
Zd1,2,30.00,0,4,17-May,12:05,4,,,,
Zd1,3,30.00,21,25,17-May,12:20,25,,,,
Zd1,4,30.00,120,145,17-May,12:42,145,,,,
Zd1,5,30.00,105,250,17-May,12:57,250,Leeg,40,,
Zd1,6,30.00,-4,246,17-May,13:18,36,,,,
Zd1,7,30.00,0,246,17-May,13:34,36,,,,
Zd1,8,30.00,30,276,17-May,13:49,66,,,,
Zd1,9,30.00,30,306,17-May,14:07,96,,,,
Zd1,10,30.00,19,325,17-May,14:22,115,,,,
Zd1,11,30.00,5,330,17-May,14:37,120,,,,
Zd2,1,30.00,0,4,17-May,11:50,4,,,,
Zd2,2,30.00,0,4,17-May,12:05,4,,,,
Zd2,3,30.00,16,20,17-May,12:20,20,,,,
Zd2,4,30.00,146,166,17-May,12:42,166,,,,
Zd2,5,30.00,84,250,17-May,12:57,250,Leeg,30,,
Zd2,6,30.00,184,434,17-May,13:18,214,,,,
Zd2,7,30.00,36,470,17-May,13:34,250,Leeg,26,,
Zd2,8,30.00,23,493,17-May,13:49,49,,,,
Zd2,9,30.00,25,518,17-May,14:07,74,,,,
Zd2,10,30.00,4,522,17-May,14:22,78,,,,
Zd2,11,30.00,1,523,17-May,14:37,79,,,,
Zd3,1,30.00,0,20,17-May,11:50,20,,,,
Zd3,2,30.00,-10,10,17-May,12:05,10,,,,
Zd3,3,30.00,20,30,17-May,12:20,30,,,,
Zd3,4,30.00,195,225,17-May,12:42,225,,,,
Zd3,5,30.00,25,250,17-May,12:57,250,Leeg,10,,
Zd3,6,30.00,30,280,17-May,13:18,40,,,,
Zd3,7,30.00,0,280,17-May,13:34,40,,,,
Zd3,8,30.00,20,300,17-May,13:49,60,,,,
Zd3,9,30.00,50,350,17-May,14:07,110,,,,
Zd3,10,30.00,5,355,17-May,14:22,115,,,,
Zd3,11,30.00,5,360,17-May,14:37,120,,,,
